FAHD2B,,
RGPD3,,
RGPD4,,
LIMS3,,
AC013271.1,,
LIMS4,,
RGPD5,,
RGPD8,,
CBWD2,,
FOXD4L1,,
RABL2A,,
RAB6C,,
CCDC74B,,
SMPD4,,
MZT2B,,
TUBA3E,,
POTEI,,
CFC1B,,
CFC1,,
POTEJ,,
POTEE,,
RAB6D,,
MZT2A,,
TUBA3D,,
CCDC74A,,
ALPG,,
AQP12B,,
AQP12A,,
CST1,,
TPTE,,
POTED,,
POTEH,,
DGCR6,,
DGCR6L,,
GGT2,,
RIMBP3C,,
TMEM191C,,
GGTLC2,,
CYP2D6,,
RABL2B,,
MST1,,
FRG2C,,
ALG1L2,,
OR4F5,,
DRD5,,
UGT2B10,,
UGT2B11,,
FRG1,,
FRG2,,
DUX4,,
ZDHHC11,,
SERF1B,,
SERF1A,,
FAM153B,,
AC139491.7,,
OR2J1,,
HLA-A,,
HLA-C,,
HSPA1A,,
CLPS,,
GSTA2,,
GSTA1,,
PRIM2,,
CTAGE9,,
ULBP2,,
RAET1L,,
OCM,,
CCZ1,,
CCZ1B,,
FKBP9,,
SPDYE1,,
CDC14C,,
ZNF479,,
SBDS,,
SPDYE21,,
TRIM74,,
SPDYE17,,
NCF1,,
SPDYE9,,
SPDYE8,,
SPDYE13,,
SPDYE14,,
SPDYE15,,
TRIM73,,
SPDYE5,,
DTX2,,
SPDYE16,,
OCM2,,
SPDYE6,,
RASA4B,,
AC105052.1,,
POLR2J3,,
UPK3BL1,,
AC105052.3,,
UPK3BL2,,
AC093668.1,,
SPDYE2B,,
POLR2J3,,
POLR2J2,,
SPDYE2,,
POLR2J3,,
RASA4,,
FAM185A,,
METTL2B,,
PRSS1,,
CTAGE15,,
CTAGE6,,
TCAF2C,,
CTAGE4,,
ARHGEF35,,
OR2A1,,
DEFA1,,
DEFA1B,,
DEFA3,,
ZNF705G,,
DEFB4B,,
SPAG11A,,
DEFB104A,,
DEFB106A,,
DEFB107A,,
PRR23D1,,
FAM90A9P,,
FAM90A9P,,
FAM90A19P,,
FAM90A17P,,
FAM90A8P,,
FAM90A16P,,
FAM90A9P,,
FAM90A26,,
ZNF705D,,
DEFB130A,,
FAM90A8P,,
FAM90A17P,,
FAM90A18P,,
FAM90A14P,,
FAM90A16P,,
FAM90A10P,,
PRR23D2,,
DEFB107A,,
DEFB106A,,
DEFB104A,,
SPAG11B,,
DEFB4A,,
FAM86B2,,
FAM90A23P,,
FAM90A23P,,
FAM90A23P,,
FAM90A22P,,
PRR23D1,,
DEFB107B,,
DEFB106B,,
DEFB104B,,
SPAG11B,,
DEFB4A,,
ZNF705B,,
FAM86B1,,
CBWD1,,
RLN2,,
RLN1,,
AQP7,,
ANKRD18B,,
FAM95C,,
ANKRD18A,,
SPATA31A1,,
BX664615.2,,
ANKRD20A3P,,
FOXD4L4,,
CBWD5,,
SPATA31A7,,
CBWD6,,
FOXD4L6,,
ANKRD20A3P,,
SPATA31A6,,
FOXD4L3,,
ANKRD20A4P,,
SPATA31A3,,
ANKRD20A1,,
FOXD4L5,,
CBWD3,,
FOXD4L3,,
SPATA31D4,,
SPATA31D3,,
SPATA31D1,,
NUTM2F,,
NUTM2G,,
ORM2,,
SPACA5,,
SSX3,,
SSX4,,
SSX4B,,
GAGE12J,,
GAGE13,,
GAGE2E,,
GAGE2E,,
GAGE12G,,
GAGE12J,,
GAGE12F,,
GAGE12E,,
GAGE12H,,
GAGE2A,,
GAGE12C,,
GAGE12C,,
GAGE12D,,
GAGE12F,,
GAGE12E,,
GAGE12G,,
GAGE12H,,
GAGE2A,,
MAGED4B,,
MAGED4,,
XAGE1A,,
XAGE1A,,
XAGE1B,,
SSX7,,
SSX2,,
SSX2B,,
FAM156B,,
PAGE2B,,
PAGE2,,
DMRTC1,,
DMRTC1B,,
TCP11X1,,
NXF2,,
AC235565.2,,
NXF2B,,
TCP11X2,,
RHOXF2B,,
RHOXF2,,
CT47B1,,
CT47A7,,
CT47A6,,
CT47A5,,
CT47A4,,
CT47A3,,
CT47A2,,
CT47A1,,
SMIM10L2B,,
SMIM10L2A,,
CT45A1,,
CT45A3,,
CT45A5,,
CT45A6,,
CT45A2,,
CT45A7,,
CT45A8,,
SPANXN2,,
EOLA1,,
MAGEA9B,,
HSFX2,,
HSFX1,,
MAGEA9,,
EOLA2,,
MAGEA3,,
MAGEA2B,,
CSAG1,,
MAGEA2,,
MAGEA6,,
SLC6A8,,
OPN1LW,,
OPN1MW,,
OPN1MW2,,
AC242842.3,,
PRB3,,
LINC02203,,
AC134980.3,,
OR4M2,,
GOLGA6A,,
DUSP22,,
ZNF443,,
ZNF468,,
MSTRG.3150,,
FAM153A,,
DUSP22,,
CYP21A2,,
HLA-DRB5,,
CEL,,
CXorf49,,
CXorf49B,,
SPANXN1,,
NBPF19,,
MRGPRX1,,
MRGPRX1,,
ACOT1,,
TLR3,,
FAM149A,,
CYP4V2,,
C4A,,
C4B,,
CNTNAP3B,,
TEX28,,
NBPF20,,
H2BU1,,
RNF187,,
OR2T10,,
OR4N2,,
OR4K2,,
OR4K1,,
ACOT2,,
LILRA6,,
AC112229.3,,
DDT,,
AC253536.7,,
KRT34,,
GSTT4,,
MUC20,,
DPY19L2,,
FAM187B,,
TMSB15A,,
SMYD1,,
FABP1,,
NBPF15,,
NBPF9,,
NBPF11,,
CES1,,
B3GNTL1,,
MSTRG.5798,,
PPP2R3B,,
SHOX,,
CRLF2,,
SLC25A6,,
P2RY8,,
AKAP17A,,
ZBED1,,
CD99,,
PCDH11Y,,
VAMP7,,
GRAPL,,
BTNL3,,
ATAD3B,,
CYP4F12,,
RRP7A,,
BTBD6,,
ABT1,,
ZNF322,,
SCART1,,
CYP2E1,,
SYCE1,,
CLCNKA,,
PRB4,,
PRB1,,
SIGLEC14,,
ELOA2,,
LRP5L,,
UPK3B,,
