gene,y0,A,x0,w,sumsquarevalue,ti_fourparam_sigma_dist,truncationindex,min,max,mean,std,skew,kurt,right,maxheight,rightheight,n_obs,fit_success,tissue,n_tissue_samples,label
OR4F5,,,,,,,,,,,,,,,,,0,False,Colon_Transverse_Mucosa,0,0
ATAD3B,,,,,,,,,,,,,,,,,0,False,Small_Intestine_Terminal_Ileum_Lymphode_Aggregate,0,0
ATAD3A,-0.3513798318724186,16.460226829573184,5.3203702381113,0.6840663109461163,326.40085579974675,1.887832048765347,0.15129330951220432,3.9677957299249798,6.2335295654180936,5.279943424875298,0.43383427138025277,-0.3061832812642298,-0.3406506195290291,6.2335295654180936,16.130118108559437,2.4403789514666947,327,True,Cells_EBV-transformed_lymphocytes,327,0
MMP23B,0.02381479888718558,10.189067465797812,2.920683695003922,1.1595408048640794,202.50664275686478,2.9907599020128934,0.0,1.0692759622207182,5.372865060112588,2.986705793756813,0.7969544798973741,0.2149155887940948,-0.17050475165667978,5.372865060112588,10.072663041036844,0.0,193,True,Ovary,193,0
CDK11B,1.0203059682551692,28.05441887227366,6.007343739720154,0.29241709869034954,377.6358899651025,3.14383872504481,0.007075677027265825,5.100166113740954,6.657395629468217,5.9867338997164,0.23809913205582559,-0.2275828982535762,0.4475769345860847,6.657395629468217,28.052559840601916,0.1984908532201468,414,True,Testis,414,0
CDK11A,,,,,,,,,,,,,,,,,0,False,Small_Intestine_Terminal_Ileum_Lymphode_Aggregate,0,0
SLC35E2A,2.0426998822135487,19.829632891543056,3.5698175410009907,0.42909792995715845,255.9118390100075,3.127617587846554,0.007513983737911606,1.2481826201157333,4.518793189622651,3.350212838768185,0.5625070450590393,-1.0749156846609973,1.1820765539380371,4.518793189622651,19.829506143749366,0.14899858669495103,266,True,Brain_Cerebellum,266,0
PRAMEF1,0.5012322724524969,22.959413748542925,0.616667499250119,0.4799315746183636,711.7619268840701,3.8244320394936664,0.0,0.0,1.9145377358041693,0.6274152978512019,0.32887688843141866,0.14534080372734104,-0.08849031749859337,1.9145377358041693,22.94410211387865,0.0,414,True,Testis,414,0
PRAMEF11,5.781663356211126,14.445409120838349,1.2041501869576994,0.3867147159921442,676.9647249970528,3.5208595074764903,0.0019716124704330035,0.0,2.166924283252786,1.0079882302482452,0.501465068657869,-0.3761761239655986,-0.7096451310774969,2.166924283252786,14.444495854968297,0.02847894815677332,414,True,Testis,414,0
PRAMEF2,0.006133733072602538,19.219775610423948,0.7546047665459111,0.5921988289188163,620.7436482665623,2.6717257461374815,0.0,0.0,1.8733840656214322,0.7632673703653985,0.379936607597112,0.08742914927555069,-0.42118773535517473,1.8733840656214322,18.678075354027943,0.0,414,True,Testis,414,0
PRAMEF4,0.33360251141010866,685.3092189873731,0.0017576888590675741,0.001798454906800762,299.8557303588794,112.51262825350871,0.0,0.0,0.14483995998368113,0.0012375350382415101,0.009316318079016787,9.517256808784664,108.45943860303954,0.14483995998368113,684.4127359794256,0.0,714,True,Adipose_Subcutaneous,714,0
PRAMEF10,2.439606963972821,2086238235650.6157,-4.867172859836404,1.010277581511591,549.2980850930135,12.637641769239794,0.0,0.0,4.16083146874119,0.49386186977072977,0.7861485754409946,2.593946147157786,7.141250344418152,4.16083146874119,173.56386926214122,0.0,262,True,Liver,262,0
PRAMEF7,0.5128205128205058,721.3885630511433,0.0010305346332428339,0.000384465763025048,33.74358974359004,321.9355836667987,0.0,0.0,0.08855141062574469,0.001231122303705161,0.0077631078302257675,7.080395476173851,54.88227280010606,0.08855141062574469,721.2987552418228,0.0,714,True,Adipose_Subcutaneous,714,0
PRAMEF6,6.43589751281294,342.28692091198906,0.004660102562925364,0.0012438297352385253,3713.5897435897446,518.6379682543853,0.0,0.0,0.46081279682503173,0.06006104910177026,0.07068805548798696,1.814357884307052,4.8519350986729135,0.46081279682503173,341.85337103926406,0.0,414,True,Testis,414,0
PRAMEF25,0.399855706091122,704.2926587174671,0.00044453376384924215,0.00036970732269231996,41.04580014402913,135.6511002650656,0.0,0.0,0.035906790974216785,0.00017014555531786842,0.002286206488126539,13.559585170326416,184.61718104733615,0.035906790974216785,701.099568201631,0.0,714,True,Adipose_Subcutaneous,714,0
PRAMEF26,0.07692307589837652,722.6031895356311,0.0003681600651261271,0.00016448552977553824,2.7692307754017804,264.5065429250873,0.0,0.0,0.031132607528861492,0.00012203377503823178,0.001885453977665109,15.459281145125152,238.22349019317198,0.031132607528861492,722.1003128299592,0.0,714,True,Adipose_Subcutaneous,714,0
PRAMEF9,0.8461538461538461,702.3442496304384,0.001080251267821822,0.00028196755420520944,71.07692307692308,448.2952643800807,0.0,0.0,0.09046188542986308,0.0015099243782760033,0.007966547735066947,6.746841114253293,53.69253978225395,0.09046188542986308,697.6459050370726,0.0,714,True,Adipose_Subcutaneous,714,0
PRAMEF13,5.780067091527182,35202923063.06117,-0.15078568974987458,0.03598737502968661,2812.1397321827394,26.50036803955992,0.0,0.0,0.5235669741179932,0.06143546277044612,0.08970761657724217,2.344019057618291,6.681217973126843,0.5235669741179932,835.9958644328972,0.0,414,True,Testis,414,0
PRAMEF18,0.9758488525639537,100.25481206017811,0.09227700063622268,0.1465395016955819,535.3145189765629,20.99685997678618,0.0,0.0,2.2679522169077098,0.16748713735018703,0.2121345718299929,5.255451571873979,37.649718936205645,2.2679522169077098,100.24556402268618,0.0,414,True,Testis,414,0
PRAMEF5,0.10256410248408222,748.6027884160249,0.0008993140823948295,0.0004062506837514843,3.5897435903858157,273.38781137927236,0.0,0.0,0.07943341123514898,0.0003319767907964622,0.0045776709768261085,14.423196778402685,214.0653947493754,0.07943341123514898,744.8092662922652,0.0,714,True,Adipose_Subcutaneous,714,0
PRAMEF8,5.897435897435897,360.2190315764057,0.0039136319064459225,0.0011723519860491686,2565.589743602007,467.9126067616826,0.0,0.0,0.3918029072108095,0.05235336931774817,0.06605589197311865,1.690939212340447,3.5030450659634003,0.3918029072108095,360.1876758598085,0.0,414,True,Testis,414,0
