feature_set,roc_auc,pr_auc,n_feat
tissue_only,0.9316012558869703,0.9678432568567378,8
level_only,0.6482731554160125,0.7706215834587469,10
shape_only,0.7412833594976452,0.8376098296160002,6
level+shape,0.6948469387755101,0.7925281003627634,16
level+shape+tissue,0.9251255886970172,0.957278602106452,24
