feature_set,own_tissue_roc_auc,own_tissue_roc_auc_std,own_tissue_pr_auc,cerebellum_roc_auc,n,tissue_demeaned_roc_auc
truncationindex_only,0.7297290646831931,0.05594109695894679,0.25220506571373225,0.528,610,0.513656553266645
pure_shape,0.7525529983509017,0.058051624049646464,0.30183550103859647,0.775,576,0.6328762632242539
level_only,0.8215060719097417,0.04004551924619142,0.3729116319978996,0.818,613,
mean_only,0.8043963925982274,0.044270456664750185,0.31084755392385754,0.824,613,0.704223336296731
level+shape,0.8120210414706629,0.052901095730098366,0.3809468662945495,,576,
