species,n_pos,n_tol_all,n_tol_matched,median_mean_pos,median_mean_tol_all,median_mean_tol_matched,median_ti_pos,median_ti_tol_matched,mwu_p_ti_matched,unmatched_shape_roc_auc,unmatched_shape_pr_auc,matched_shape_roc_auc,matched_shape_pr_auc,verdict
human_cerebellum,42,462,113,10.546841847631988,3.9645258465054827,7.36489316377132,0.0,0.0,0.5613357400302621,0.7674730208820322,0.2969808190121173,0.6114745278875714,0.4445195110384177,DOES NOT SURVIVE -- shape signal collapses once expression level is controlled for
worm,87,324,225,0.8972385835362318,2.0479317067439613,1.3834217027536233,0.0,0.0,0.33019208172252934,0.531752875188537,0.3175089776807769,0.4760537400145243,0.33390437897420094,DOES NOT SURVIVE -- shape signal collapses once expression level is controlled for
