feature_set,roc_auc,pr_auc,n_feat
tissue_only,0.7057317285888715,0.5069802913975088,8
level_only,0.7266964939822083,0.5540386527470761,10
shape_only,0.7007263212977499,0.4790804946372795,6
level+shape,0.7402626024768882,0.5773744848016455,16
level+shape+tissue,0.7376016919588347,0.5910922590535295,24
