symbol,Name,Description,GTEX-111FC-3326-SM-5GZYV,GTEX-1128S-2826-SM-5N9DI,GTEX-117XS-3126-SM-5GIDP,GTEX-1192X-3226-SM-5987D,GTEX-11DXW-1026-SM-5H11K,GTEX-11DXY-3126-SM-5N9BT,GTEX-11DYG-2926-SM-5H132,GTEX-11DZ1-2926-SM-5A5KI,GTEX-11EI6-2926-SM-5985U,GTEX-11EMC-3326-SM-5P9JH,GTEX-11GSO-3026-SM-5Q5AL,GTEX-11GSP-3126-SM-5A5LL,GTEX-11NUK-3026-SM-5986K,GTEX-11NV4-2226-SM-5BC4T,GTEX-11O72-2826-SM-5HL6W,GTEX-11OC5-0626-SM-5HL6M,GTEX-11ONC-3026-SM-5985W,GTEX-11PRG-2826-SM-5BC54,GTEX-11TTK-2826-SM-5GU5K,GTEX-11ZTS-3226-SM-5EGID,GTEX-11ZUS-2826-SM-5EQKW,GTEX-11ZVC-3026-SM-59HJM,GTEX-12126-0926-SM-5FQTW,GTEX-1269C-3126-SM-5EGI6,GTEX-12WSC-2926-SM-5BC5Z,GTEX-12WSD-3026-SM-5LZU7,GTEX-12WSE-2926-SM-5RQJ9,GTEX-12WSH-3126-SM-5LZW8,GTEX-12WSM-2126-SM-5GCOC,GTEX-12ZZX-2826-SM-5BC6K,GTEX-12ZZY-2926-SM-5DUXO,GTEX-12ZZZ-3126-SM-5LZU6,GTEX-13112-2926-SM-5DUWT,GTEX-1313W-3026-SM-5LZUZ,GTEX-131XH-2926-SM-5LZU4,GTEX-131YS-3026-SM-5EGHY,GTEX-132Q8-2926-SM-5IFFP,GTEX-1399T-3126-SM-5IJFS,GTEX-139TS-3126-SM-5LZWX,GTEX-139TT-2626-SM-5LZUB,GTEX-13CF2-3026-SM-5IFFX,GTEX-13FHO-2926-SM-5L3ES,GTEX-13FHP-2926-SM-5IJG9,GTEX-13FXS-3026-SM-5LZYO,GTEX-13G51-3126-SM-5IJG7,GTEX-13JUV-3026-SM-5K7WX,GTEX-13JVG-3226-SM-5IJGJ,GTEX-13N2G-3126-SM-5IJGL,GTEX-13NYB-3226-SM-5J2ND,GTEX-13O3O-3026-SM-5KM42,GTEX-13O3Q-3026-SM-5IJGD,GTEX-13OVH-2926-SM-5IJFH,GTEX-13OVJ-2726-SM-5IJG6,GTEX-13OVL-3026-SM-5IJF1,GTEX-13OW5-3126-SM-5MR3Y,GTEX-13OW6-2926-SM-5KM29,GTEX-13OW7-2926-SM-5MR3Z,GTEX-13OW8-2926-SM-5L3FV,GTEX-13PVQ-2926-SM-5L3HJ,GTEX-13QIC-3026-SM-5LU58,GTEX-13RTJ-3126-SM-5S2Q4,GTEX-13S7M-3026-SM-5S2QQ,GTEX-13SLX-3226-SM-5YYA6,GTEX-13VXU-3026-SM-5LU3K,GTEX-13X6I-2926-SM-5Q5C3,GTEX-13X6J-2926-SM-7EPGP,GTEX-13X6K-2826-SM-5O9DS,GTEX-144GL-2926-SM-5O99F,GTEX-145LS-3026-SM-5O99S,GTEX-145LU-2626-SM-5LU9Z,GTEX-145MF-2826-SM-7EPGU,GTEX-145MG-3126-SM-5Q5D3,GTEX-145MH-2926-SM-5Q5D2,GTEX-147F4-3026-SM-5Q5BJ,GTEX-147GR-3126-SM-5S2PM,GTEX-14A5I-2826-SM-5SIBF,GTEX-14ABY-3026-SM-664NE,GTEX-14ASI-2926-SM-5Q5DG,GTEX-14BIM-3126-SM-5Q5C7,GTEX-14BIN-3326-SM-5Q5E6,GTEX-14BMV-2926-SM-5TDEE,GTEX-14C39-3026-SM-5S2QE,GTEX-14C5O-2926-SM-5RQI1,GTEX-14DAQ-3026-SM-5S2QZ,GTEX-14E6D-2926-SM-664OP,GTEX-14E7W-2926-SM-5S2R8,GTEX-14JFF-2826-SM-6871Q,GTEX-14JG1-2926-SM-686ZK,GTEX-14JIY-2326-SM-6AJAJ,GTEX-14PJM-3026-SM-6LLHM,GTEX-14PJO-2926-SM-686ZI,GTEX-14PN4-3026-SM-664O4,GTEX-15DYW-3026-SM-7KFRM,GTEX-15EO6-2926-SM-6M48D,GTEX-15ER7-3026-SM-6M47W,GTEX-15G19-2826-SM-6M48K,GTEX-15SHU-3026-SM-6LPIB,GTEX-16XZZ-2926-SM-6LPK4,GTEX-16YQH-2926-SM-6LPJE,GTEX-16Z82-2926-SM-6LPJJ,GTEX-17EVP-2926-SM-793BU,GTEX-17EVQ-2726-SM-7EWDT,GTEX-17F97-2926-SM-7DUEQ,GTEX-17HG3-2826-SM-7EPGO,GTEX-17HHY-2926-SM-79OJW,GTEX-17HII-2926-SM-79OMK,GTEX-17JCI-3026-SM-7EWDR,GTEX-183WM-2726-SM-7KFRF,GTEX-18465-2926-SM-7KFSE,GTEX-18A6Q-2826-SM-7LTAO,GTEX-1A3MX-2926-SM-718B7,GTEX-1A8G6-3126-SM-731D8,GTEX-1A8G7-3026-SM-73KTT,GTEX-1B8L1-3226-SM-7P8OX,GTEX-1B8SF-3026-SM-731DX,GTEX-1B8SG-1926-SM-73KUB,GTEX-1B933-3026-SM-731DB,GTEX-1B996-2926-SM-7MXUH,GTEX-1BAJH-3126-SM-7MGXY,GTEX-1C64N-3126-SM-79OO3,GTEX-1C6VR-3026-SM-7IGLW,GTEX-1C6WA-3326-SM-7MKGN,GTEX-1CB4G-2926-SM-7MKFQ,GTEX-1CB4H-3026-SM-79OLX,GTEX-1E1VI-2926-SM-7IGLT,GTEX-1E2YA-2926-SM-7MGWX,GTEX-1EH9U-3126-SM-7MXU5,GTEX-1EKGG-3126-SM-9WPO5,GTEX-1EMGI-3126-SM-7MXUR,GTEX-1EU9M-2926-SM-793DF,GTEX-1EWIQ-3026-SM-7IGOJ,GTEX-1EX96-3126-SM-9JGGC,GTEX-1F48J-2726-SM-7P8PW,GTEX-1F52S-3026-SM-7P8PV,GTEX-1F6I4-3026-SM-7P8SI,GTEX-1F6IF-3026-SM-7P8QN,GTEX-1F75A-2926-SM-7MXVN,GTEX-1F75W-3126-SM-7P8SJ,GTEX-1GF9V-3026-SM-7P8R8,GTEX-1GF9W-2726-SM-9JGGW,GTEX-1GN73-3026-SM-7MXV8,GTEX-1GTWX-2926-SM-7MXV4,GTEX-1GZ2Q-3026-SM-9JGG3,GTEX-1GZ4I-2926-SM-9JGGO,GTEX-1GZHY-3026-SM-7MXVA,GTEX-1H1CY-3026-SM-9OSW7,GTEX-1H1DG-2826-SM-9JGHB,GTEX-1H1ZS-2926-SM-9WPP2,GTEX-1H3NZ-2926-SM-9WPQ8,GTEX-1H3O1-1826-SM-A96TO,GTEX-1H3VE-2826-SM-9WPOL,GTEX-1H4P4-2726-SM-9JGGB,GTEX-1HB9E-3126-SM-AHZ4M,GTEX-1HBPH-3026-SM-9WPNY,GTEX-1HBPI-2726-SM-9WPPF,GTEX-1HCVE-2926-SM-9WPPJ,GTEX-1HSKV-2926-SM-B2LWJ,GTEX-1HSMO-2926-SM-C1YR5,GTEX-1I1CD-2926-SM-A96SJ,GTEX-1I1GV-3026-SM-CNNR9,GTEX-1I1HK-2726-SM-AHZ2M,GTEX-1IDJH-3126-SM-C1YQS,GTEX-1IKOH-2826-SM-CNNRC,GTEX-1IL2V-3026-SM-CYPSA,GTEX-1IY9M-3126-SM-AHZ3A,GTEX-1J1OQ-3126-SM-D4P2O,GTEX-1JJ6O-3026-SM-C1YQH,GTEX-1JJE9-3026-SM-CNNPA,GTEX-1JJEA-2926-SM-C1YSK,GTEX-1JMLX-3026-SM-EV79Q,GTEX-1JMOU-2826-SM-EV79R,GTEX-1JMPZ-2826-SM-C1YRA,GTEX-1JMQJ-3126-SM-EV79G,GTEX-1JMQK-2926-SM-D4P2T,GTEX-1JN1M-3126-SM-AHZ4E,GTEX-1KANB-3226-SM-D4P3G,GTEX-1KD4Q-3026-SM-EV7A7,GTEX-1KWVE-2226-SM-CXZKN,GTEX-1LG7Y-3126-SM-EV7AS,GTEX-1LSVX-2826-SM-EVR58,GTEX-1MJK2-3026-SM-EV7A5,GTEX-1NV8Z-3026-SM-DTX8Z,GTEX-1P4AB-3026-SM-EXOJS,GTEX-1PIIG-2826-SM-DTX7O,GTEX-1POEN-2726-SM-E9U6B,GTEX-1PWST-3026-SM-EAZ3H,GTEX-1QEPI-3026-SM-EXOIW,GTEX-1QP6S-3026-SM-EAZ4N,GTEX-1R46S-3126-SM-DPRZ9,GTEX-1R9PO-2826-SM-E6CPV,GTEX-1RDX4-3226-SM-DPS14,GTEX-1RNSC-3126-SM-EVR4V,GTEX-1RQEC-3026-SM-DPRXM,GTEX-N7MS-2526-SM-2D7W3,GTEX-N7MT-1226-SM-DKPOK,GTEX-NPJ7-2826-SM-2I3FU,GTEX-NPJ8-2626-SM-2D7W2,GTEX-OHPN-2626-SM-2I5H1,GTEX-P44G-2526-SM-2I5EK,GTEX-P44H-2426-SM-2XCEJ,GTEX-PVOW-2626-SM-32PL8,GTEX-PWO3-1026-SM-2I5F2,GTEX-Q2AG-2826-SM-2HMJQ,GTEX-QDT8-3026-SM-32PKB,GTEX-QMR6-1326-SM-32PLB,GTEX-QVJO-1325-SM-2S1QX,GTEX-QVUS-2926-SM-3GIJB,GTEX-R55E-2526-SM-2TC6H,GTEX-RNOR-2226-SM-2TF5O,GTEX-RU72-2926-SM-2TF66,GTEX-S7SE-2526-SM-2XCDL,GTEX-T2IS-2926-SM-32QPO,GTEX-T5JC-2326-SM-32PMR,GTEX-T6MN-2526-SM-32PMN,GTEX-TSE9-2926-SM-3DB77,GTEX-UTHO-2926-SM-3P5Z9,GTEX-WHSE-2926-SM-3NMBG,GTEX-WL46-2826-SM-3LK81,GTEX-WVLH-2926-SM-3MJG5,GTEX-WWYW-3026-SM-3NB36,GTEX-WZTO-2826-SM-3NM8P,GTEX-X261-3126-SM-4PQZC,GTEX-X4EP-3026-SM-3P5YP,GTEX-X4XX-2926-SM-3NMB1,GTEX-XLM4-2926-SM-4AT59,GTEX-XMD1-2826-SM-4AT5F,GTEX-Y111-2826-SM-4TT3O,GTEX-Y8DK-0726-SM-4TT3S,GTEX-YFC4-3026-SM-5IFJK,GTEX-YJ89-2926-SM-5P9IT,GTEX-Z93S-2826-SM-57WBL,GTEX-ZAB4-2926-SM-57WCV,GTEX-ZAJG-3026-SM-5HL92,GTEX-ZAK1-2926-SM-5HL9S,GTEX-ZDXO-2926-SM-4WKFM,GTEX-ZF28-2926-SM-4WKG1,GTEX-ZUA1-2926-SM-59HL3,GTEX-ZVT3-2926-SM-5GU6M,GTEX-ZYFD-2926-SM-5GID9,GTEX-ZYY3-3026-SM-5GIEJ,GTEX-ZZPT-2926-SM-5EQ5S
APP,ENSG00000142192.20,APP,7.0016896684042145,6.330916878114617,7.274261661257048,7.449148645375436,6.347842793638155,6.582706526780788,6.638073837180719,7.327777170584049,6.06177619758669,6.938403423670239,7.276124405274238,7.150255021302179,7.270061672727762,7.059614856297223,7.335836940378002,7.118941072723507,6.50303064564116,6.6169163625788086,6.496654082593496,5.944858445807539,6.9818526532897405,6.3110671022555955,7.204571144249204,5.750874439656846,7.4375440263154715,7.188836073030529,7.342074667999139,7.297833368411061,6.324630615267186,7.14414836650889,7.129798173187144,6.8820316083521,6.877744249949002,7.476543706214256,7.634811050171718,6.624978179569036,6.77082904603249,6.866660750819986,6.624978179569036,7.463115619892362,6.029011086659068,6.687900522480746,6.379378367071262,7.236492618381302,6.685099172006606,6.993787563134839,6.92955431573285,6.575161033425394,7.350055177204501,6.914684105328389,6.898450232807866,6.82781902461732,7.180406485310636,7.04930403348226,7.1001366712854495,6.92955431573285,6.532161084983212,6.293701542080735,6.294620748891627,7.203103250236637,6.271463027904375,7.100662339005199,6.843607046490561,6.90026304356897,7.178913784669566,7.234577959784566,6.92837032301897,6.537606691495291,7.332707933640606,6.721099188707185,7.502632935082918,6.0800180290891745,7.7238315664953205,6.715618859074816,6.770168320103429,6.105384749247602,6.8157035033480655,7.194756854422248,7.152791851639121,6.525912260743351,6.919459269111574,6.506208389306745,6.848622940429338,7.414050944726041,6.160879861839305,7.081083928687635,6.138527801422274,6.898450232807866,7.233619676759702,7.022367813028454,5.482041541985604,7.025693273680773,6.83541884047548,7.487036080031899,7.084808387804362,7.244125943283729,6.861707286585856,5.973840839533145,7.093285503877924,5.802193216941825,7.306517445249819,6.653203362033977,7.257387842692651,6.774787059601174,6.974414589805527,6.379378367071262,6.663202278579536,6.049848549450561,7.003939485688056,6.143638309922037,6.838573652668324,6.221103725367875,6.254556251909489,6.7528823662730915,7.1400628556982095,6.462706750670158,7.6794800995054455,7.263973354803408,6.187846909439575,6.83731255552431,6.118941072723508,7.774457639565288,6.879583249612783,6.581200581924957,6.155830171556525,5.1409831048784245,5.451540833017832,6.191799501065075,7.072534599722955,7.249824548616184,5.820178962415188,6.660352509670921,6.879583249612783,6.800899899920305,7.099084760891863,6.875902903124834,7.583082767502933,6.670302170078526,6.442114122419225,6.414473836430928,6.807998838623031,5.82273014794452,7.335836940378002,6.741466986401147,6.7073591320808825,6.7846348455575205,6.340740280630179,6.854868383260237,6.416164164733128,6.198690585668918,5.94251450533924,6.7374163659370625,6.547665748353421,6.510170751151772,6.391458420049668,6.750874439656846,6.589463892956097,6.235535606710462,6.671717965129234,6.988116584760143,6.708739041359579,6.924218679748503,6.53605290024021,6.549207089355683,7.344295907915816,6.787249608467913,6.455327220304561,5.652773284510777,7.205060110544645,6.451211111832329,6.541483864054276,6.620586410451877,6.827183895819525,6.436295119839363,7.300581359795972,5.126601235157298,6.255500733148386,6.819540460505722,7.133399125417199,6.726558779104974,7.578938713093386,6.9886846867721655,7.53021123329988,7.248402006143435,6.989820220117596,6.807354922057604,5.746850183098051,7.04930403348226,6.740792672277682,7.194264382992005,6.638797899951696,5.467442524483537,6.366322214245816,7.263034405833794,6.745506265869159,6.056366761024529,6.386293635150991,5.669593751188333,6.575161033425394,6.961739072604138,7.533329732305834,6.071462362556624,6.946613905412761,6.800899899920305,6.151777654732053,6.894817763307944,6.771489469500598,7.436711542137214,7.236970886259339,7.410239330776022,7.034523875334392,7.448322832507502,7.53954658023841,6.9277779620823425,6.90508609876177,7.075746538060905,7.442943495848729,7.710806433699352,6.838573652668324,7.075746538060905,6.82209277437953,6.719731056749852,7.154311811436489,7.418274293880538,6.387155717662981,6.725877459120227,6.721099188707185,6.751544059089098,6.029011086659068,6.945443836377912,7.053654417603145,7.0016896684042145,7.45409362036545,6.518849828707692,6.648896806475254,5.9954845188775066,7.249350523627234,6.106432077816929,6.989252565165993,6.878357510336936,6.9313284848937915
SNCA,ENSG00000145335.15,SNCA,5.362469888750209,4.855740591715029,5.760220946466509,5.655924213083815,5.283921772307617,4.766860143829545,4.942045259916046,5.156841524588401,4.446917864866026,4.65219964830406,4.867649406017757,5.0710332444568245,5.687900522480746,5.610729586534706,5.5640732557369414,5.343407822297814,4.833902076669164,5.59051219998164,4.73308313184512,4.342696959981934,5.397974049326774,4.41886457739032,5.712870867689905,3.988230223060457,6.049848549450561,5.2992080183872785,6.199672344836364,5.851749041416057,4.859721128927965,5.84924870276441,5.614415386508126,5.391114675697104,5.159871336778389,5.936637939002571,6.0,5.523405132855501,4.607922067261143,5.673839055990439,5.233811384293157,5.729280846027402,5.290940402403678,4.896756218474805,5.3835315042780385,5.561937059622433,4.916954278953217,5.12907690293063,4.896756218474805,5.017921907997263,6.133399125417198,5.197904697025821,5.464994927265429,5.3215673760354045,4.970623614470605,5.306699707272787,5.00337736020232,5.393175914348805,5.04176864995163,5.082574866339516,4.212569338850806,5.870364719583405,4.655065551195028,5.4197074208102665,5.549977142771825,5.82781902461732,5.036503333738988,5.85049941375812,4.97246290720214,5.3334237337251915,5.354910511586791,5.5163303868259375,5.820178962415188,4.952100554168438,6.014578464922892,5.382148453204219,5.127220550488074,4.167117030227439,5.254934118606487,5.7481928495894605,5.840463233869542,5.405141463136344,5.325350433189509,5.0259146987507926,5.116239979469368,5.811214117513239,4.729552770453971,5.197314999473818,4.8376910004285625,5.514122260170708,5.986410935252045,5.645009884391095,3.24031432933371,5.267348520202451,4.767654798237347,5.82273014794452,5.521521923571383,4.98071082890019,5.107269393592545,3.5680321047712793,5.5836093397269515,4.023698917266407,5.844234987758751,4.748461233004035,5.511752653767379,5.500324049284198,5.601547961155605,4.700994494168267,5.081510068120917,4.500802053057158,5.43379405875492,4.528883827274642,5.093179846765504,5.227471546359283,4.546894459887636,5.209843230525496,5.789207575347344,5.132782457298859,5.596935142387232,5.022811650915631,4.1838834590322325,5.294069295088306,4.659353759170051,5.996614714815362,5.146695948030656,4.567423757707283,4.189429245809757,3.2509615735332185,3.2839217723076173,4.96139181179108,5.350674037114486,5.381802483168775,4.108942568660791,5.25285462595139,4.990501111363251,4.609991295212678,5.564835417010355,5.074462620704536,5.780047576061869,5.5777309314900805,4.598722499676621,4.999323578150824,5.309612772454123,4.205157883920094,5.632559052117953,4.973840839533145,5.135247549809567,5.506525779043123,4.139142019145689,4.962317654942308,4.109778429078662,4.6061460780657235,3.8738131983590876,5.559032867745183,3.7338966052474953,5.022811650915631,5.077029313819001,4.650764559116903,5.169323753239866,4.837943241891027,4.9902741833186015,5.3416300093299105,5.239932613485236,5.477839200781846,4.582254908357664,4.918624755574591,5.7238315664953205,5.3824943402931185,4.599020177391675,3.7382274003672418,5.4063325778217095,5.0800180290891745,4.259272487037594,5.45762712179055,5.497452695977237,5.069745123799029,5.430117974892026,3.604071323668861,4.9593064897596575,5.362645217794709,5.56346323668308,5.322469004113554,5.92362461136832,5.609695872862739,5.776103988073165,5.531381460516312,5.9271853578263665,5.23208509872283,4.526068811667588,6.24412594328373,4.930500810791164,5.191602128461868,4.954196310386875,4.053545817727984,4.695715488609975,5.718361626138354,5.036063688743695,4.418189947945766,4.901832305785489,4.03121873061072,4.884842093799463,5.958842675243241,5.647458426454921,4.647026632654853,5.383877059978108,5.478971805032942,5.148934104526339,5.064581109190573,5.544887177974316,5.206916672538598,5.4584476274379226,5.588114949388078,5.639232163249277,6.223036337901875,6.04220656012069,5.4329594072761065,4.731726322715782,5.37364821133469,5.808642467918064,6.1927859592511245,5.393175914348805,5.044612692957976,5.862947248020921,5.383013015488671,4.921007800452218,4.9823091301297735,5.067810783789621,4.649328040984784,5.518062975652524,5.506525779043123,4.583759753639499,5.341096237957642,5.811214117513239,5.318678373736547,5.368244526376844,5.1888360730305285,5.644721547217978,3.957450336347116,5.697662633470518,4.4571345943180365,5.070174625154059,4.533251851928969,4.84197311892718
PCSK9,ENSG00000169174.10,PCSK9,2.683696454306516,3.401903471607958,4.4535175792154975,2.9155209007519587,3.532940288372874,3.4276061727819,3.477029653013065,3.655924213083815,3.6450098843910954,3.6865005271832185,5.005175391331941,4.5786368624717415,2.6599245584023783,4.576522137920503,4.222650022451478,2.311793717753649,2.599317793698226,3.7596884884272894,2.6948801927991917,2.6971065744769747,4.142821844115928,4.557348817524804,4.40973035386445,2.107520493591593,2.238022517825721,3.670160514126633,3.865918814552212,4.015247773698937,3.604071323668861,4.5043025831631684,3.4309542713857297,4.1081062236861285,4.454175893185802,3.6926503700355298,4.621172752683435,4.589463892956097,2.1244935721953064,4.873321062914816,3.02768487693716,3.066089190457772,3.3743439890385005,2.669026765509631,4.561631630375841,3.90544717873885,5.464668267003444,5.2082831384125186,3.5410191531335595,4.008540671702954,3.987320865929254,3.0,4.614709844115208,3.496973580998276,3.180307019969433,3.2539892662307865,2.5570424152637194,4.360715425392931,3.6082178530214595,2.710393192170516,3.6276068381296502,3.759155833800272,3.5122268865139574,4.084914659767938,4.59215800212536,2.792855352362489,3.62702310555406,3.7586229824402393,4.33735429849697,3.4080324661306527,4.34766565630097,4.159064008810545,4.221490455042056,2.9020735793107426,4.076388068512841,2.368628681628985,4.373300196608388,3.2539892662307865,1.5353064856124248,4.087462841250339,3.297925052503806,3.8052924556007115,3.8855743643714264,2.5668151540108965,2.1018181342274094,3.1618876823768938,2.5668151540108965,3.663344619366085,3.6570683012015754,3.531693360861466,2.769771739249448,4.118110505607367,2.1973936397420717,3.3568480792365216,3.0916998341368105,3.6205864104518772,4.097189387235113,4.008092420948722,3.5582676340557358,0.8355199013869357,3.6892991605358922,1.4982508675278257,3.904002316283692,3.939226577728209,4.763411574470007,3.0721058004804194,4.033863451866284,3.247927513443585,3.5001646794921673,3.0170310805278406,3.414812060565847,2.457856910413769,2.8449881566826116,2.7834566543602395,3.033863451866284,1.983495294414508,4.584661907941469,3.3957483281790335,4.644433152406245,2.344828496997441,2.155263504024833,3.7251958172266635,2.824767853143294,2.771885578515366,4.04745114041639,3.1675185037352174,2.287620044112067,0.5365502955359103,0.9891390073682331,3.112700132749362,2.3779566338101135,2.715893370547605,3.0329824166994284,4.3077927961298945,3.389566811762726,3.702103406629387,5.297007949274849,1.986410935252045,3.094236069845765,3.1747259877061333,3.0505016974467267,3.008988783227255,4.212180210044431,4.028127082317139,2.689299160535892,3.3652725997645314,3.20945336562895,3.79960542245267,2.71918344048179,3.618238655595454,2.0624671435007054,3.532316959332765,2.643856189774725,3.268284666520996,2.982765462583646,3.173127433480656,3.66732447027863,3.3624698887502094,4.368069876532083,3.7349805234358895,3.2016338611696504,3.3197624276692475,2.6803243568440163,3.0478873293965503,4.537606691495291,3.903038270112912,2.904002316283692,4.025028794491522,2.115199749385445,2.297338173601829,3.987320865929254,2.910732661902913,3.90544717873885,4.170726276131552,4.093391153253013,2.633431210355632,4.131754090984813,2.612352498752662,4.263410058756341,4.107269393592545,3.704318677760832,1.8050860466954468,4.527946098908258,3.6076262208454875,3.9886846867721655,4.398145116504409,3.8948177633079437,1.5866446638643827,2.8104431038451745,3.8841094513592296,3.5686401954192233,3.560714954474479,4.1622906135457995,0.8213020398895297,3.0009014027415324,5.565292520581023,3.83541884047548,2.8953026213333066,2.8489984304000227,3.2349610948395036,3.328405658958567,3.4309542713857297,3.5223068928713888,3.16430358309365,3.7131459024902593,3.8140376475399753,3.3743439890385005,4.979110755015785,4.083638879250706,5.095924419998536,4.084064264788474,3.6959938131099,3.452858964713811,3.469234793667656,3.75702324650746,4.477677327565307,3.082361969557474,2.8669079781431663,2.9420452599160467,3.7818842345414856,3.759155833800272,3.7665951617292697,3.884597920990064,3.8509993947164736,2.302757715638036,4.14934066928622,3.908812907739547,3.153805336079036,3.7692427951405385,4.084914659767938,3.9140860970127225,4.5388485207442395,3.3881895371560837,3.157852169141737,4.1906148602094975,3.871350840634026,3.1068507964502237,3.0866139474094956,3.9453267772646265,3.6328498301177063,2.682573297347578,3.4093909361377017,1.9191493632876746
SOX9,ENSG00000125398.5,SOX9,3.838447592548458,3.7382274003672418,3.8424760629939394,3.5397791916984938,4.204766750654613,3.804776377955828,3.3673710656485296,4.28909670241999,3.388878338811989,4.862203399053224,3.5410191531335595,4.628190334615213,3.7949356628035362,2.6205864104518777,4.361417466789213,3.7349805234358895,4.458775699080244,4.111448698487674,4.762083003567673,3.864433796365624,2.494415610397496,3.4737869116143676,4.248686626873828,3.7985690035568824,1.1003049057956855,4.400537929583729,1.9827654625836462,3.6775082422647216,4.218006150284427,4.210232990095849,3.7382274003672418,1.4594316186372973,3.572889668420581,1.9500950941736859,3.363171077119244,3.4382928515791464,4.339493737901733,3.0565835283663674,3.900142260359816,3.893362210763872,3.837438714856374,5.162492036937525,3.473137487772256,4.048323386537814,3.5502850490884104,4.183486514459391,4.711770203863191,4.39746072605472,1.427874306792687,4.289465630958221,3.5771266613070516,4.616769366293503,4.79259510251225,4.303415462685624,4.981396031972149,4.165911938935689,3.7495342676692616,4.341985747228616,3.0798047546352585,3.5216789516031994,3.7876414144833266,3.2349610948395036,2.698218478224414,2.8747969658986654,4.581652530461277,3.3540289380543866,4.534186139090097,4.508111681193465,4.318678373736547,4.033863451866284,4.234577959784565,3.5141222601707076,2.351910961103077,3.67581593117227,4.174326515173915,4.481880139620285,2.5397791916984938,3.8186460828225393,3.769771739249448,3.5229345609434555,4.320484678017694,4.7865963618908065,3.979568100095187,4.135452784185173,2.3311319222172022,3.903038270112912,3.424922088210688,4.228433920513366,3.247927513443585,4.423241995973661,4.356848079236522,3.1634987322828794,4.70984201927331,3.579542224936903,3.9097731041416397,4.186659017202113,3.4620523187964327,4.587964988882679,3.253232938538032,2.0662614422687215,3.2993912061268293,3.7349805234358895,4.18626283566979,3.968551603363945,4.028569152196771,4.466627120041501,3.4522000494062217,3.236492618381302,3.8237493603082724,3.67072705449947,4.495695162624068,3.9073714138235633,4.00539998774259,2.4802651220544627,3.3715588626119626,2.0876325600954138,3.3902549563218676,4.825531251189622,2.5109619192773796,3.7414669864011474,3.5855634984556914,0.5280711645787355,3.7142455176661224,4.687900522480746,2.402585758232587,2.6484654430273142,4.524502537449162,3.405992359675837,4.195347598322219,3.8594726668519375,3.121015400961366,3.509062386361898,4.321928094887363,3.5291962679993905,3.6820113908006933,4.058316495590823,1.4446670668419075,2.2778360081851545,3.3881895371560837,5.154007947559024,3.7131459024902593,4.36387192485753,4.846744023244868,4.3110671022555955,3.2787282129389395,3.3490821463910887,5.159669547136702,3.9560566524124026,3.8938475581329195,3.4834933512843946,5.236301266827087,2.4410850367609944,4.444269502413482,3.9102529627992784,3.7175393433911648,3.893362210763872,3.985500430304885,3.6473145095471358,3.637494325206311,4.102238193930738,3.2652868575651723,4.114367024952,2.233734704336675,3.5897634869849773,3.5052558009321633,4.927422428739871,5.25304379464515,4.293885430302371,3.6803243568440163,3.792855352362489,4.400196342026577,4.668459556915382,1.899948986189672,3.2935176304174245,4.200457271428572,2.62993940943954,3.9331004749313676,3.7734689279051947,3.238022517825721,3.5897634869849773,1.8042601156347384,3.631104282365877,3.7004397181410917,3.8559896973084804,3.62702310555406,5.494735604862796,3.072963271555224,3.608809242675524,4.604367899893749,3.9927684307689244,4.103077946597573,2.6881803585869264,3.0018022426339854,2.4828482830684653,3.973611275519472,4.596637034102074,4.602587527342561,3.2494453410858384,4.259272487037594,4.571373435973201,3.8991756304805127,3.921245888585589,2.726831217032493,4.290571850852079,4.177917792195843,3.53605290024021,4.2505826647875375,2.992768430768924,4.049195105622275,4.689858236319245,4.024585638278273,1.6196477669308753,2.282884555061049,3.489286022625876,4.078951341394822,3.678635347822744,4.631686366311998,1.8013656276227659,3.527320607877047,4.106432077816929,3.3175935046234715,3.628190334615213,4.5906618959652645,3.574101508089389,4.2509615735332185,4.519164449806069,2.010242755527748,4.121844297876376,4.2433644256936605,4.046141781644721,1.761285273361619,4.51127826508303,4.758089934201813,3.087462841250339,3.2110121934855114,4.759155833800272,2.882643049361841,3.7839804136837953,4.738497643889787,4.515699838284043,4.396090970394369
