symbol,Name,Description,GTEX-111FC-3326-SM-5GZYV,GTEX-1128S-2826-SM-5N9DI,GTEX-117XS-3126-SM-5GIDP,GTEX-1192X-3226-SM-5987D,GTEX-11DXW-1026-SM-5H11K,GTEX-11DXY-3126-SM-5N9BT,GTEX-11DYG-2926-SM-5H132,GTEX-11DZ1-2926-SM-5A5KI,GTEX-11EI6-2926-SM-5985U,GTEX-11EMC-3326-SM-5P9JH,GTEX-11GSO-3026-SM-5Q5AL,GTEX-11GSP-3126-SM-5A5LL,GTEX-11NUK-3026-SM-5986K,GTEX-11NV4-2226-SM-5BC4T,GTEX-11O72-2826-SM-5HL6W,GTEX-11OC5-0626-SM-5HL6M,GTEX-11OF3-2926-SM-5HL78,GTEX-11ONC-3026-SM-5985W,GTEX-11PRG-2826-SM-5BC54,GTEX-11TTK-2826-SM-5GU5K,GTEX-11UD1-0626-SM-GI4WE,GTEX-11ZTS-3226-SM-5EGID,GTEX-11ZUS-2826-SM-5EQKW,GTEX-11ZVC-3026-SM-59HJM,GTEX-12126-0926-SM-5FQTW,GTEX-12696-3026-SM-5FQTU,GTEX-1269C-3126-SM-5EGI6,GTEX-12WSA-2826-SM-GJ3PI,GTEX-12WSC-2926-SM-5BC5Z,GTEX-12WSD-3026-SM-5LZU7,GTEX-12WSE-2926-SM-5RQJ9,GTEX-12WSH-3126-SM-5LZW8,GTEX-12WSM-2126-SM-5GCOC,GTEX-12ZZX-2826-SM-5BC6K,GTEX-12ZZY-2926-SM-5DUXO,GTEX-12ZZZ-3126-SM-5LZU6,GTEX-13112-2926-SM-5DUWT,GTEX-1313W-3026-SM-5LZUZ,GTEX-131XH-2926-SM-5LZU4,GTEX-131YS-3026-SM-5EGHY,GTEX-132Q8-2926-SM-5IFFP,GTEX-1399T-3126-SM-5IJFS,GTEX-139T8-0926-SM-G8OLP,GTEX-139TS-3126-SM-5LZWX,GTEX-139TT-2626-SM-5LZUB,GTEX-13CF2-3026-SM-5IFFX,GTEX-13FHO-2926-SM-5L3ES,GTEX-13FHP-2926-SM-5IJG9,GTEX-13FLV-1626-SM-5J2N4,GTEX-13FXS-3026-SM-5LZYO,GTEX-13G51-3126-SM-5IJG7,GTEX-13JUV-3026-SM-5K7WX,GTEX-13JVG-3226-SM-5IJGJ,GTEX-13N2G-3126-SM-5IJGL,GTEX-13NYB-3226-SM-5J2ND,GTEX-13O3O-3026-SM-5KM42,GTEX-13O3Q-3026-SM-5IJGD,GTEX-13OVH-2926-SM-5IJFH,GTEX-13OVJ-2726-SM-5IJG6,GTEX-13OVL-3026-SM-5IJF1,GTEX-13OW5-3126-SM-5MR3Y,GTEX-13OW6-2926-SM-5KM29,GTEX-13OW7-2926-SM-5MR3Z,GTEX-13OW8-2926-SM-5L3FV,GTEX-13PVQ-2926-SM-5L3HJ,GTEX-13QIC-3026-SM-5LU58,GTEX-13RTJ-3126-SM-5S2Q4,GTEX-13S7M-3026-SM-5S2QQ,GTEX-13SLX-3226-SM-5YYA6,GTEX-13VXU-3026-SM-5LU3K,GTEX-13X6I-2926-SM-5Q5C3,GTEX-13X6J-2926-SM-7EPGP,GTEX-13X6K-2826-SM-5O9DS,GTEX-144GL-2926-SM-5O99F,GTEX-145LS-3026-SM-5O99S,GTEX-145LU-2626-SM-5LU9Z,GTEX-145MF-2826-SM-5O99N,GTEX-145MG-3126-SM-5Q5D3,GTEX-145MH-2926-SM-5Q5D2,GTEX-145MI-3126-SM-5Q5CF,GTEX-147F4-3026-SM-5Q5BJ,GTEX-147GR-3126-SM-5S2PM,GTEX-14A5I-2826-SM-5MR8G,GTEX-14ABY-3026-SM-664NE,GTEX-14ASI-2926-SM-5Q5DG,GTEX-14BIM-3126-SM-5Q5C7,GTEX-14BIN-3326-SM-5Q5E6,GTEX-14BMV-2926-SM-5TDEE,GTEX-14C39-3026-SM-5S2QE,GTEX-14C5O-2926-SM-5RQI1,GTEX-14DAQ-3026-SM-5S2QZ,GTEX-14E6D-2926-SM-664OP,GTEX-14E7W-2926-SM-5S2R8,GTEX-14JFF-2826-SM-6871Q,GTEX-14JG1-2926-SM-686ZK,GTEX-14JIY-2326-SM-6AJAJ,GTEX-14PJM-3026-SM-6LLHM,GTEX-14PJO-2926-SM-686ZI,GTEX-14PN4-3026-SM-664O4,GTEX-15CHQ-2926-SM-HAUY1,GTEX-15DYW-3026-SM-7KFRM,GTEX-15EO6-2926-SM-6M48D,GTEX-15ER7-3026-SM-6M47W,GTEX-15G19-2826-SM-6M48K,GTEX-15RJE-3126-SM-HL9UG,GTEX-15SHU-3026-SM-6LPIB,GTEX-16GPK-2926-SM-HL9UI,GTEX-16XZZ-2926-SM-6LPK4,GTEX-16YQH-2926-SM-6LPJE,GTEX-16Z82-2926-SM-6LPJJ,GTEX-17EVP-2926-SM-793BU,GTEX-17EVQ-2726-SM-7EWDT,GTEX-17F97-2926-SM-7DUEQ,GTEX-17HG3-2826-SM-7EPGO,GTEX-17HHY-2926-SM-79OJW,GTEX-17HII-2926-SM-79OMK,GTEX-17JCI-3026-SM-7EWDR,GTEX-183WM-2726-SM-7KFRF,GTEX-18465-2926-SM-7KFSE,GTEX-18A6Q-2826-SM-7LTAO,GTEX-1A3MX-2926-SM-718B7,GTEX-1A8G6-3126-SM-731D8,GTEX-1A8G7-3026-SM-73KTT,GTEX-1B8L1-3226-SM-7P8OX,GTEX-1B8SF-3026-SM-731DX,GTEX-1B8SG-1926-SM-73KUB,GTEX-1B933-3026-SM-731DB,GTEX-1BAJH-3126-SM-7MGXY,GTEX-1C64N-3126-SM-79OO3,GTEX-1C6VR-3026-SM-7IGLW,GTEX-1C6WA-3326-SM-7MKGN,GTEX-1CB4G-2926-SM-7MKFQ,GTEX-1CB4H-3026-SM-79OLX,GTEX-1E1VI-2926-SM-7IGLT,GTEX-1E2YA-2926-SM-7MGWX,GTEX-1EH9U-3126-SM-7MXU5,GTEX-1EKGG-3126-SM-9WPO5,GTEX-1EMGI-3126-SM-7MXUR,GTEX-1EU9M-2926-SM-793DF,GTEX-1EWIQ-3026-SM-7IGOJ,GTEX-1EX96-3126-SM-9JGGC,GTEX-1F48J-2726-SM-7P8PW,GTEX-1F52S-3026-SM-7P8PV,GTEX-1F6I4-3026-SM-7P8SI,GTEX-1F6IF-3026-SM-7P8QN,GTEX-1F75A-2926-SM-7MXVN,GTEX-1F75W-3126-SM-7P8SJ,GTEX-1GF9V-3026-SM-7P8R8,GTEX-1GF9W-2726-SM-9JGGW,GTEX-1GN73-3026-SM-7MXV8,GTEX-1GTWX-2926-SM-7MXV4,GTEX-1GZ2Q-3026-SM-9JGG3,GTEX-1GZ4I-2926-SM-9JGGO,GTEX-1GZHY-3026-SM-7MXVA,GTEX-1H1CY-3026-SM-9OSW7,GTEX-1H1DG-2826-SM-9JGHB,GTEX-1H1ZS-2926-SM-9WPP2,GTEX-1H3NZ-2926-SM-9WPQ8,GTEX-1H3O1-1826-SM-A96TO,GTEX-1H3VE-2826-SM-9WPOL,GTEX-1H4P4-2726-SM-9JGGB,GTEX-1HB9E-3126-SM-AHZ4M,GTEX-1HBPH-3026-SM-9WPNY,GTEX-1HBPI-2726-SM-9WPPF,GTEX-1HCVE-2926-SM-9WPPJ,GTEX-1HFI6-3126-SM-GA8ZE,GTEX-1HGF4-3026-SM-GA8Z4,GTEX-1HSKV-2926-SM-B2LWJ,GTEX-1HSMO-2926-SM-C1YR5,GTEX-1HT8W-2926-SM-GA91W,GTEX-1I19N-2926-SM-GA8Z7,GTEX-1I1CD-2926-SM-A96SJ,GTEX-1I1GQ-2926-SM-GA8YY,GTEX-1I1GR-2826-SM-GA8ZA,GTEX-1I1GV-3026-SM-CNNR9,GTEX-1I1HK-2726-SM-AHZ2M,GTEX-1ICLZ-2726-SM-GA8ZK,GTEX-1IDJH-3126-SM-C1YQS,GTEX-1IGQW-2726-SM-GA91A,GTEX-1IKOH-2826-SM-CNNRC,GTEX-1IL2U-2926-SM-GA8ZO,GTEX-1IL2V-3026-SM-CYPSA,GTEX-1IY9M-3126-SM-AHZ3A,GTEX-1J1OQ-3126-SM-D4P2O,GTEX-1J8EW-2926-SM-GA8ZZ,GTEX-1JJ6O-3026-SM-C1YQH,GTEX-1JJE9-3026-SM-CNNPA,GTEX-1JJEA-2926-SM-C1YSK,GTEX-1JMLX-3026-SM-EV79Q,GTEX-1JMOU-2826-SM-EV79R,GTEX-1JMPZ-2826-SM-C1YRA,GTEX-1JMQJ-3126-SM-EV79G,GTEX-1JMQK-2926-SM-D4P2T,GTEX-1JN1M-3126-SM-AHZ4E,GTEX-1KANB-3226-SM-D4P3G,GTEX-1KD4Q-3026-SM-EV7A7,GTEX-1KWVE-2226-SM-CXZKN,GTEX-1LG7Y-3126-SM-EV7AS,GTEX-1LH75-2926-SM-HAUY9,GTEX-1LSNL-3126-SM-HL9SV,GTEX-1LSVX-2826-SM-EVR58,GTEX-1LVA9-3126-SM-F2I3D,GTEX-1LVAO-3126-SM-HL9ST,GTEX-1MJK2-3026-SM-EV7A5,GTEX-1N2DW-2926-SM-F342G,GTEX-1N5O9-3026-SM-F2I1V,GTEX-1NV8Z-3026-SM-DTX8Z,GTEX-1OJC4-2926-SM-HL9TJ,GTEX-1P4AB-3026-SM-EXOJS,GTEX-1PBJI-2926-SM-GPI8V,GTEX-1PIIG-2826-SM-DTX7O,GTEX-1POEN-2726-SM-E9U6B,GTEX-1PWST-3026-SM-EAZ3H,GTEX-1QEPI-3026-SM-EXOIW,GTEX-1QP6S-3026-SM-EAZ4N,GTEX-1R46S-3126-SM-DPRZ9,GTEX-1R9PO-2826-SM-E6CPV,GTEX-1RDX4-3226-SM-DPS14,GTEX-1RNSC-3126-SM-EVR4V,GTEX-1RQEC-3026-SM-DPRXM,GTEX-1RQED-3126-SM-HL9SY,GTEX-N7MS-2526-SM-2D7W3,GTEX-N7MT-1226-SM-DKPOK,GTEX-NPJ7-2826-SM-2I3FU,GTEX-OHPN-2626-SM-2I5H1,GTEX-P44H-2426-SM-2XCEJ,GTEX-PVOW-2626-SM-32PL8,GTEX-PWO3-1026-SM-2I5F2,GTEX-QDT8-3026-SM-32PKB,GTEX-QMR6-1326-SM-32PLB,GTEX-QVJO-1325-SM-2S1QX,GTEX-QVUS-2926-SM-3GIJB,GTEX-R55E-2526-SM-2TC6H,GTEX-RNOR-2226-SM-2TF5O,GTEX-S7SE-2526-SM-2XCDL,GTEX-T2IS-2926-SM-32QPO,GTEX-T5JC-2326-SM-32PMR,GTEX-T6MN-2526-SM-32PMN,GTEX-TSE9-2926-SM-3DB77,GTEX-UTHO-2926-SM-3P5Z9,GTEX-WHSE-2926-SM-3NMBG,GTEX-WL46-2826-SM-3LK81,GTEX-WVLH-2926-SM-3MJG5,GTEX-WWYW-3026-SM-3NB36,GTEX-WZTO-2826-SM-3NM8P,GTEX-X261-3126-SM-4PQZC,GTEX-X4EP-3026-SM-3P5YP,GTEX-X4XX-2926-SM-3NMB1,GTEX-XLM4-2926-SM-4AT59,GTEX-XMD1-2826-SM-4AT5F,GTEX-Y111-2826-SM-4TT3O,GTEX-Y8DK-0726-SM-4TT3S,GTEX-YFC4-3026-SM-5IFJK,GTEX-YJ89-2926-SM-5P9IT,GTEX-Z93S-2826-SM-57WBL,GTEX-ZAB4-2926-SM-57WCV,GTEX-ZAJG-3026-SM-5HL92,GTEX-ZAK1-2926-SM-5HL9S,GTEX-ZDXO-2926-SM-4WKFM,GTEX-ZF28-2926-SM-4WKG1,GTEX-ZUA1-2926-SM-59HL3,GTEX-ZVT3-2926-SM-5GU6M,GTEX-ZVZQ-2826-SM-HL9U2,GTEX-ZYFD-2926-SM-5GID9,GTEX-ZYY3-3026-SM-5GIEJ,GTEX-ZZPT-2926-SM-5EQ5S
APP,ENSG00000142192.22,APP,13.709999211132706,13.001760028327217,13.699951945812849,14.069072093074109,12.913543937782999,13.523378177150896,13.374835723200649,13.980139577639157,13.399211156255298,14.06587889425448,14.107176200832816,14.00908503902627,13.989483201928493,13.348174867535556,13.918956383482517,13.579551652806565,13.157425889804832,13.34976499521255,13.091104758376499,13.339502088869171,14.49891151924271,12.868726114717415,14.008603695797012,13.68485817694223,13.904211233538659,13.460327901362927,12.79512647856489,12.691634484289246,14.194641446512776,14.264955662710035,13.886172872019582,13.736084774161503,12.765804066287817,13.775764582445015,13.666556894018951,13.767770648776704,13.299279578866493,14.030494719749468,14.292249726352955,13.33385416119417,13.533877210033316,14.00549297445872,13.784941508337056,13.719281855600725,14.273832015733669,13.05697633617822,13.186191635268218,13.39901083295199,13.928333307585147,13.734497941692572,13.744781290831627,13.33399388276136,13.973518004703717,13.908486445443955,13.858709543146265,13.724673717383052,13.836198326309765,13.741677644945858,14.123111006993092,14.013191798926252,14.209719886228951,13.494355603532846,13.558480505424873,13.248372354921251,12.995767150877802,13.72334097360154,12.665446957788724,13.278159031437237,13.817883027944088,13.527782422375209,13.60490065714595,14.141348804818964,14.241014872958452,13.491665233181953,13.625765910568711,13.139311522784595,14.298742788732348,13.195449108073895,14.607070189030772,13.320659543648578,13.608947814565514,13.470913026274877,13.318613417559872,13.868822554774999,13.959277505720502,14.064911136698967,13.56617298899285,13.551648188124776,13.314441630036939,13.464609562397593,13.427902060006291,13.793400098483819,13.145693374677021,13.617065640352328,13.790297581996889,13.713332810280487,14.161525577908536,13.068778277985412,14.23545333389011,14.693160223256985,13.454299293619899,13.888220024895235,13.776587246163597,13.84441154700684,13.82456102997028,13.588421851199547,14.214850318517954,13.208843990734614,13.449922415863757,12.817283487123344,13.84764464308332,13.180919244664318,14.164946198109847,13.879439662149029,13.213256138247942,12.984952427732367,13.292033985499543,14.096056239180946,14.611313030788999,13.649985874470193,14.091228752736281,12.739042199689782,13.574534399280024,14.012362651282416,13.466586337719244,13.95746484680521,13.84828061181343,13.263856019596082,13.349004718027743,13.745201610595958,14.4707859557643,13.747091535595025,13.183480311333778,14.103492722131689,12.37218489648635,13.242504260424534,12.976295606795597,13.790653947553906,13.939579214314692,13.175471581871296,14.079109727704077,13.68118349694458,14.127228612736653,12.908017261062803,14.679370133802363,14.220416117828975,13.40998751568481,14.12940377319471,12.744833837499545,13.431105798242637,12.6345841934937,14.503484150438599,13.925647155084594,13.772263018718013,14.241201130500428,13.749136164336134,13.513357500168402,13.344087811893019,13.054349941685503,13.164592716712367,14.190364850745532,13.963257356633047,13.324672802005361,13.203959703239462,13.628217680223434,13.25915476886684,12.843921051289035,13.014543596581943,13.420157613476356,14.076899083931494,12.921933891234561,13.74046593803534,13.798826153470502,13.78253757014513,14.62585150759273,13.840089450644317,13.353836022014743,13.708922211313446,13.26795708440284,14.4651837439944,12.697184783224516,13.690816459900459,14.341727290125295,13.491853096329674,13.264589208126823,13.636228096784896,13.091104758376499,14.069911235189313,13.690161706268304,13.945032258425424,13.402279302205054,14.14986617503235,14.204571144249204,13.767098172186191,13.069869289673576,13.732750407705732,13.849405100947758,14.318542809702723,12.887791791341588,13.709622352644278,14.431399662729344,14.315291107023732,13.281495414799457,14.87500535396098,13.282871237714822,13.238479380142588,13.972172081440796,14.109177703355275,14.565548387734603,13.908486445443955,14.06629945601145,13.894201986050575,13.71435285705391,13.400012171428362,14.466586337719244,13.421210147409056,13.769682906718923,12.982637133669424,13.979023199775753,13.079234757245636,13.440739423014273,13.149905858025047,14.135228307589896,13.338736382573916,13.557583362779901,13.59729605044852,14.760512051357347,13.228142268646705,13.792586968947914,13.847351024472175,13.13699111208023,13.245255580306555,14.380122809233894,13.931106833029341,13.820677595483051,14.456418590506573,14.281930026955443,13.755930741084399,14.443332100575896,14.230658455921159,14.530741610119682,14.239635819271765,13.982949024381929,14.269820677663386,13.921050584809581,13.163335192081961,13.697347704499375,14.61741006858273,12.657206781556859,13.283088353024002,13.789329860092431,13.742625227929604,12.73978060977326,14.430387210736564,14.21769269490376,14.000616254183969,14.033595068451708,13.206251272060687,13.294907880953653,13.472754292062746,13.943842595463527,12.9153192176791,13.885744030290127,14.396705113494217,13.801253656478211,13.595665425758522
SNCA,ENSG00000145335.17,SNCA,11.36796070964157,10.82097669262124,11.490600213019592,11.582847628550267,11.16679075071818,11.029287226968245,10.97513145692134,11.107544031975987,11.0877943047879,11.088457003486226,10.981923987317339,11.230020435705635,11.721099188707186,11.223398414711628,11.464800981655417,11.091435386323607,11.097373768990222,10.99081307915361,11.393122273589531,10.880348808156027,12.436971745049073,10.558898981146703,11.751334836401343,11.096385734452651,11.722167139781853,10.252665432450248,10.308907804063939,10.146568675740786,12.123313124568744,11.679700005769249,12.052228393347402,11.602002863537445,10.62890115202819,11.810169937664659,11.462757865660363,11.57483001533763,10.870750003346114,11.80332391904149,11.96956639729051,11.558659867026508,10.657318449581288,12.135388651579046,11.346790721750702,11.642728643768999,11.858952310750938,11.636171441635922,10.71896091198421,11.72749506902543,11.69479315499995,11.386131937314994,11.27583351001347,10.755722153642282,11.249409785269128,11.662000718718481,11.937741620077096,11.311748315004959,11.721099188707186,11.536490073199161,11.222794902868111,11.576248129843252,11.410451351503994,11.27029532647204,11.39231742277876,11.33706433868474,10.205182326228643,11.698487638557692,10.340406490853294,10.90651484484695,11.85681455250301,11.773551346428505,10.745674324002135,12.085472459181283,11.613098794209224,11.61240779313867,10.97513145692134,11.24198314969433,12.000176099486442,11.373137035802127,12.207166881383289,10.925925264972856,11.573410505507574,11.131213905086272,10.684748620421626,11.62844554013718,11.815383295813538,12.049508251055096,11.772314573921653,11.275251543470327,11.168358727223886,11.032390168866524,11.144976824050111,11.67661826358852,10.578372691360805,11.646333693380967,11.723660944409984,11.769424641552753,12.108034327661551,10.109177703355275,11.805945351802933,11.595257481449035,10.674192268145683,11.541338657970826,11.516931121998697,10.892163309861965,11.520373136339725,11.13699111208023,11.86379910372885,10.088125692188207,11.246146774635864,10.3437409184722,11.690434556395054,10.573647187493322,11.722380635163802,11.901055432553273,11.157978449945432,10.593857938858223,11.022020969646356,11.833285435584482,12.345127991976693,11.319672120946995,11.654636028527968,11.047805554007589,11.169925001442312,11.7714894695006,11.4189067312579,11.931660898852277,11.059682447247638,10.554109152574004,11.092757140919852,11.594324603924848,11.987086329328193,11.314866431053176,10.450695771572915,11.41679752760606,9.754052367528924,10.33371442609397,11.06204613772049,11.374496145691516,11.367141694552364,10.751544059089099,11.984952427732367,11.0877943047879,11.224001674198105,10.65508344519798,12.182549540307372,11.709083812550343,11.62935662007961,11.584257887744567,10.67595703294175,11.247334178028728,10.315715658022201,12.117318426010003,11.48255589154897,11.509527607423152,12.271463027904375,10.848622940429339,10.921469060531411,10.338179249900112,10.769011321097015,10.382083590141967,12.329936453312435,10.411510988012072,11.144020869266893,11.205487820150566,10.828929827651486,11.302638923787553,10.642051692927977,10.901244032467376,11.320518524632691,12.193063279130408,10.484822894262146,11.368779260041338,11.34623669139025,11.419170165028538,12.291458518782344,11.694140204076431,11.046441948007311,11.579080183834757,11.196909442541138,11.811575388375799,10.584962500721156,11.367141694552364,12.035486451292154,11.401946123976536,11.246740598493144,11.067770457447823,10.456867738380343,11.574357000565888,11.63753055152531,10.92481250360578,11.533573081389802,12.137631598235428,12.158136285407641,11.208843990734614,10.827739648806956,11.730257835654754,11.712527000439824,12.054604317960672,10.704335971182319,11.453785055496155,12.344018439881326,12.315432637905376,10.717676423066395,12.505315356136236,11.270587340447511,11.07347215397646,11.88626815287296,11.664225040837929,12.109177703355275,11.313733350263819,11.634811050171718,12.145136088281756,11.467605550082997,11.51051694059471,12.973697366305352,10.898223471215559,11.074141462752506,10.602234901341063,11.848622940429339,10.71295682169755,11.526743742999686,10.872674880270605,11.719174882328078,10.996120363033047,11.204265456136843,11.93939556018156,12.183945471757246,11.078484417411449,11.79644525906185,12.183790434946514,10.595257481449035,11.33343491528405,11.461223627613371,11.452756029032495,11.758223214726724,12.536247215688128,12.061539958530144,11.563434635710198,11.577192765687045,11.82316817898474,12.18239435340453,12.01854794187165,11.858952310750938,11.525765478821915,12.27394125977685,11.111135670234708,10.749450465569916,11.458919206967591,10.626165319904498,10.486332252768664,11.89519657256334,11.807757403589267,10.599912842187127,12.137151260278307,12.290450899356378,11.622509454683335,11.267664537501119,11.187661365739121,11.600145216358667,10.730894646541671,11.691961564216788,10.58261245126702,12.057653339963936,11.77869318322384,10.767356854125685,10.787086324551616
PCSK9,ENSG00000169174.13,PCSK9,8.972979786066292,9.709083812550343,10.49235394515987,9.105908508571158,9.700439718141093,9.952741247186488,9.800090987624994,9.940313597145968,10.669770888525518,10.481799431665753,11.47192918764169,11.079818085212354,8.884170519108435,10.422064766172813,10.465056167831175,8.29920801838728,10.129926933510394,8.96289600533726,9.809768128710413,9.092757140919852,11.965423565810129,9.214319120800766,10.774787059601174,11.595257481449035,10.735556023911535,8.481799431665753,8.698704666770345,9.638435913990472,8.436711542137214,10.37232095486726,10.047123912114026,10.084144010615145,9.660887270302567,10.720244258287567,9.524541715035848,10.635718120331047,10.486835021563051,9.820178962415188,10.92481250360578,10.868822554774999,8.333155350310616,11.653516879421431,9.734709620225837,9.73047013718422,9.421012855779226,9.977279923499916,8.69522829149575,11.204571144249204,10.199058823653022,9.987264012072538,12.13747150335196,11.134426320220927,10.173052457774116,10.930367747438952,10.099347810403193,9.433585441150495,11.20181761666792,9.997179480937621,9.66622400280318,9.808159772868375,9.228818690495881,10.485326189240524,10.25679838607939,9.26795708440284,9.994353436858859,9.869593843240784,9.507794640198696,9.843921051289035,11.220982851081777,8.92481250360578,9.67065624911844,10.21006248324023,11.232720707964873,9.980139577639157,10.263269200372662,10.24436383512051,10.476239906323851,9.591522346570734,10.549303368513575,10.733862719678543,8.881113960675096,10.67595703294175,10.186733289128867,7.96289600533726,10.486835021563051,9.74819284958946,10.428360172704291,10.096715154488535,8.912889336229961,8.259743263690781,8.741466986401146,9.778077129535358,9.344295907915816,10.778898476008376,10.007728114632254,8.826548487290914,10.880348808156027,9.347621368568134,10.11504365016171,9.576484346796851,9.280770770130603,9.539158811108031,10.44604940671655,10.26502894245816,9.824958740528523,9.835260918627489,10.10000522442272,7.4346282276367255,9.64745842645492,8.025139562278508,10.00842862207058,10.040289721025717,11.298062567719017,9.767356854125685,9.822570830950168,9.478769619475763,9.75905593916017,10.67595703294175,10.63117705570398,9.499845887083206,9.671541066711884,8.859534786382653,10.017504401109415,8.693486957499326,10.525031345124,10.533816389433365,10.312882955284355,8.778077129535358,9.845490050944376,10.068106475858773,9.059344460824425,10.512740462803498,9.366322214245816,9.81698362325538,6.924812503605781,8.226412192788786,9.427312844134963,8.605479518061669,9.004220466318195,10.057314877782703,11.316564385396942,9.79603960882977,10.614709844115207,10.689561254285525,9.29117069932186,9.263269200372662,9.489847960439297,10.31628153174622,9.004220466318195,10.490850876740298,10.50382573799575,9.371776644337924,10.11504365016171,9.857203471508166,10.848622940429339,9.698704666770345,9.892542816648552,8.330916878114618,9.99859042974533,9.509775004326936,10.3151495622563,10.025139562278508,9.567956075415466,10.043710863347156,9.784634845557521,9.92035285541508,9.453270634010623,10.409390936137703,10.571278618514595,10.335948565202298,9.469641817239516,9.859534786382653,9.204571144249204,10.544964432789238,10.501837184902296,9.365228849251544,9.576484346796851,9.377210530388552,10.161131882984307,12.129926933510394,10.192292814470767,10.69522829149575,9.462502272597265,10.338736382573916,10.222794902868111,8.832890014164741,9.335390354693924,10.441388029346687,9.667998535672528,10.91176647065955,10.534789211480266,11.006326078524934,9.966505451905741,10.200285605224298,10.172427508645482,11.403278375471052,10.757390009366638,10.461479447286155,9.524541715035848,10.01262453886506,8.932214751968385,9.546894459887637,9.94982671075911,11.438012087651131,10.362491806046062,10.221587121264806,10.227615943414223,11.248817059278503,10.624338545312986,10.205182326228643,10.804937672051908,10.409390936137703,7.98299357469431,10.127994320976393,10.918863237274595,9.86573327085176,9.751544059089099,10.201511344500146,8.677719641641009,9.30149619498255,11.014020470314934,11.072467608241858,10.811374693509942,9.661778097771988,10.723660944409984,9.53818893205242,10.238404739325079,9.906890595608518,10.355901638328417,10.588246152044817,10.824958740528523,10.094737505048093,11.727069558023706,10.355901638328417,9.855647166027266,10.045759661382682,10.076815597050832,10.940313597145968,10.232420927176076,9.624795455860237,9.673309075561695,9.935165049603695,10.455840909126398,10.588246152044817,10.56843119316746,9.92035285541508,8.370687406807217,10.965784284662087,9.832098846039134,9.3409627642517,10.426264754702098,10.686938171670388,10.181773438808808,11.671983272091865,10.127349541059118,9.732167425663386,10.400345796534694,10.156715144224702,9.332036548361652,10.242578689451346,10.19537220740274,10.052568050804153,10.780129619625306,9.660887270302567,9.92481250360578,8.103287808412022
