symbol,gene,y0,A,x0,w,sumsquarevalue,ti_fourparam_sigma_dist,truncationindex,min,max,mean,std,skew,kurt,right,maxheight,rightheight,n_obs,fit_success
APP,ENSG00000142192.22,-0.6769881085482435,13.668150807376602,13.69771124355205,0.7752517699128121,261.7815057205959,2.147618828434952,0.048503365184046354,12.37218489648635,14.87500535396098,13.681801891315853,0.48053817434013174,-0.07817090319007282,-0.44643423051688336,14.87500535396098,12.933471247270692,0.6273168790037339,266,True
SNCA,ENSG00000145335.17,-0.4871616104358679,15.256463500278944,11.412761438730938,0.8566523792663218,208.50064761558775,2.576887442560739,0.012912468366315282,9.754052367528924,12.973697366305352,11.367322577742389,0.5521054684280898,-0.1760831728871562,-0.3362046919992068,12.973697366305352,14.897257255147096,0.1923603630519477,266,True
PCSK9,ENSG00000169174.13,1.1704092056180047,19.07627908911394,10.067433800909239,0.8449895201250436,128.81141462466374,3.4645108888272653,0.0024742630578571704,6.924812503605781,12.13747150335196,9.980806626084117,0.8069032488482487,-0.38235914158346523,0.8735963826076452,12.13747150335196,19.076227861503867,0.04719960588098471,266,True
SOX9,ENSG00000125398.8,1.2579202596958734,18.551444609532204,10.223187856565737,0.9763112321618771,190.60803782787093,2.677276248858473,0.027767433212122796,6.139551352398794,12.071462362556623,10.045609498632198,0.96511638035146,-0.8430824974492619,1.2462048848610516,12.071462362556623,18.551193185743045,0.5151190177903076,266,True
