symbol,gene,y0,A,x0,w,sumsquarevalue,ti_fourparam_sigma_dist,truncationindex,min,max,mean,std,skew,kurt,right,maxheight,rightheight,n_obs,fit_success
APP,ENSG00000142192.20,0.9709356863768965,12.768666062084089,6.876445570747224,0.6017404070051865,125.81557342038191,2.110512825983914,0.10764769681536528,5.126601235157298,7.774457639565288,6.776533950276276,0.49394863352733814,-0.62220202052894,0.3826884639334365,7.774457639565288,12.76593671071838,1.3742236845995537,241,True
SNCA,ENSG00000145335.15,1.2031673004823646,13.190937372857416,5.282189899029854,0.6290442648419305,256.20878424491616,2.1626188743032273,0.09645228150260741,3.24031432933371,6.24412594328373,5.149906567074023,0.5733835303463684,-0.8076379125760086,0.7942831764775917,6.24412594328373,13.190560848813734,1.2722596881670545,241,True
PCSK9,ENSG00000169174.10,0.5226140127207846,15.233066577474958,3.5456847313239486,1.0276068530345581,200.94084276725772,2.779425534003953,0.02082863667574889,0.5365502955359103,5.565292520581023,3.4555785046636887,0.8312824448910825,-0.5091683158211766,0.8063254406306695,5.565292520581023,15.229999419153222,0.3172201244734091,241,True
SOX9,ENSG00000125398.5,1.297692750918186,17.134241817990844,3.920535171135614,0.7746455908810671,157.3673883990235,2.8739021166292176,0.01608843536269128,0.5280711645787355,5.494735604862796,3.7225245924090196,0.8277493639540953,-0.9414885436122262,1.1362384464915394,5.494735604862796,17.134200462311348,0.2756624766292912,241,True
